c_date,impressions,clicks,leads,revenue,mark_spent,orders,category,campaign_name
2021-02-01,45000,1250,85,8500,2000,12,social,Facebook Q1 Campaign
2021-02-02,48000,1320,92,9200,2100,13,search,Google Ads February
2021-02-03,42000,1180,78,7900,1900,11,influencer,Influencer Collab Week 1
2021-02-04,50000,1450,98,10200,2200,15,media,Display Network Campaign
2021-02-05,46000,1280,86,8900,2050,12,social,Facebook Q1 Campaign
2021-02-06,52000,1520,105,11000,2300,16,search,Google Ads February
2021-02-07,44000,1150,75,7600,1850,10,influencer,Influencer Collab Week 1
2021-02-08,48000,1350,90,9500,2150,14,media,Display Network Campaign
2021-02-09,51000,1480,102,10800,2250,15,social,Facebook Q1 Campaign
2021-02-10,49000,1400,95,9800,2180,14,search,Google Ads February
2021-02-11,47000,1320,88,9100,2100,13,influencer,Influencer Collab Week 2
2021-02-12,53000,1580,108,11500,2350,17,media,Display Network Campaign
2021-02-13,45000,1250,85,8500,2000,12,social,Facebook Q1 Campaign
2021-02-14,50000,1450,98,10200,2200,15,search,Google Ads February
2021-02-15,46000,1300,88,9300,2120,13,influencer,Influencer Collab Week 2
2021-02-16,54000,1620,112,12000,2400,18,media,Display Network Campaign
2021-02-17,48000,1360,92,9600,2160,14,social,Facebook Q1 Campaign
2021-02-18,51000,1490,103,10900,2260,16,search,Google Ads February
2021-02-19,47000,1330,90,9400,2130,13,influencer,Influencer Collab Week 2
2021-02-20,55000,1650,115,12500,2450,19,media,Display Network Campaign
2021-02-21,46000,1270,87,8800,2020,12,social,Facebook Q1 Campaign
2021-02-22,52000,1520,105,11000,2300,16,search,Google Ads February
2021-02-23,45000,1200,80,8000,1920,11,influencer,Influencer Collab Week 3
2021-02-24,56000,1680,118,13000,2500,20,media,Display Network Campaign
2021-02-25,49000,1400,95,9800,2180,14,social,Facebook Q1 Campaign
2021-02-26,53000,1560,110,11200,2380,17,search,Google Ads February
2021-02-27,47000,1320,88,9200,2100,13,influencer,Influencer Collab Week 3
2021-02-28,57000,1720,120,13200,2550,20,media,Display Network Campaign
2021-03-01,48000,1380,93,9700,2170,14,social,Social Media Sprint Q1
2021-03-02,54000,1600,112,12200,2420,18,search,Search Optimization March
2021-03-03,46000,1310,87,9100,2110,13,influencer,Creator Network Initiative
2021-03-04,58000,1750,125,13800,2600,21,media,Premium Display Ads
2021-03-05,50000,1450,97,10500,2250,15,social,Social Media Sprint Q1
2021-03-06,55000,1630,114,12400,2450,18,search,Search Optimization March
2021-03-07,48000,1360,92,9700,2160,14,influencer,Creator Network Initiative
2021-03-08,59000,1780,128,14200,2650,21,media,Premium Display Ads
2021-03-09,51000,1490,103,10900,2260,16,social,Social Media Sprint Q1
2021-03-10,56000,1670,116,12800,2480,19,search,Search Optimization March
2021-03-11,49000,1400,95,10200,2200,15,influencer,Creator Network Initiative
2021-03-12,60000,1820,131,14600,2700,22,media,Premium Display Ads
2021-03-13,52000,1520,106,11100,2300,17,social,Social Media Sprint Q1
2021-03-14,57000,1700,119,13200,2520,20,search,Search Optimization March
2021-03-15,50000,1450,98,10600,2250,15,influencer,Creator Network Initiative Q1
2021-03-16,61000,1850,135,15000,2750,23,media,Premium Display Ads March
2021-03-17,53000,1560,108,11500,2350,17,social,Social Media Sprint Q1
2021-03-18,58000,1730,122,13600,2550,20,search,Search Optimization March
2021-03-19,51000,1480,102,10900,2240,15,influencer,Creator Network Initiative Q1
2021-03-20,62000,1880,138,15400,2800,24,media,Premium Display Ads March
